id_clave,id_area,contador_clave,valor_clave
1,1,1,CTV-PAP-01
2,1,2,CTV-PAP-02
3,1,3,CTV-PAP-03
4,1,4,CTV-PAP-04
5,1,5,CTV-PAP-05
6,1,6,CTV-PAP-06
7,1,7,CTV-PAP-07
8,1,8,CTV-PAP-08
9,1,9,CTV-PAP-09
10,1,10,CTV-PAP-10
11,1,11,CTV-PAP-11
12,1,12,CTV-PAP-12
13,1,13,CTV-PAP-13
14,1,14,CTV-PAP-14
15,1,15,CTV-PAP-15
16,1,16,CTV-PAP-16
17,1,17,CTV-PAP-17
18,1,18,CTV-PAP-18
19,1,19,CTV-PAP-19
20,1,20,CTV-PAP-20
21,1,21,CTV-PAP-21
22,1,22,CTV-PAP-22
23,1,23,CTV-PAP-23
24,1,24,CTV-PAP-24
25,1,25,CTV-PAP-25
26,1,26,CTV-PAP-26
27,1,27,CTV-PAP-27
28,1,28,CTV-PAP-28
29,1,29,CTV-PAP-29
30,1,30,CTV-PAP-30
31,1,31,CTV-PAP-31
32,1,32,CTV-PAP-32
33,1,33,CTV-PAP-33
34,1,34,CTV-PAP-34
35,1,35,CTV-PAP-35
36,1,36,CTV-PAP-36
37,1,37,CTV-PAP-37
38,1,38,CTV-PAP-38
39,1,39,CTV-PAP-39
40,1,40,CTV-PAP-40
41,1,41,CTV-PAP-41
42,1,42,CTV-PAP-42
43,1,43,CTV-PAP-43
44,1,44,CTV-PAP-44
45,1,45,CTV-PAP-45
46,1,46,CTV-PAP-46
47,1,47,CTV-PAP-47
48,1,48,CTV-PAP-48
49,1,49,CTV-PAP-49
50,1,50,CTV-PAP-50
51,1,51,CTV-PAP-51
52,1,52,CTV-PAP-52
53,1,53,CTV-PAP-53
54,1,54,CTV-PAP-54
55,1,55,CTV-PAP-55
56,1,56,CTV-PAP-56
57,1,57,CTV-PAP-57
58,1,58,CTV-PAP-58
59,1,59,CTV-PAP-59
60,1,60,CTV-PAP-60
61,1,61,CTV-PAP-61
62,1,62,CTV-PAP-62
63,1,63,CTV-PAP-63
64,1,64,CTV-PAP-64
65,1,65,CTV-PAP-65
66,1,66,CTV-PAP-66
67,1,67,CTV-PAP-67
68,1,68,CTV-PAP-68
69,1,69,CTV-PAP-69
70,1,70,CTV-PAP-70
71,1,71,CTV-PAP-71
72,1,72,CTV-PAP-72
73,1,73,CTV-PAP-73
74,1,74,CTV-PAP-74
75,1,75,CTV-PAP-75
76,1,76,CTV-PAP-76
77,1,77,CTV-PAP-77
78,1,78,CTV-PAP-78
79,1,79,CTV-PAP-79
80,1,80,CTV-PAP-80
81,1,81,CTV-PAP-81
82,1,82,CTV-PAP-82
83,1,83,CTV-PAP-83
84,1,84,CTV-PAP-84
85,1,85,CTV-PAP-85
86,1,86,CTV-PAP-86
87,1,87,CTV-PAP-87
88,1,88,CTV-PAP-88
89,1,89,CTV-PAP-89
90,1,90,CTV-PAP-90
91,1,91,CTV-PAP-91
92,1,92,CTV-PAP-92
93,1,93,CTV-PAP-93
94,1,94,CTV-PAP-94
95,1,95,CTV-PAP-95
96,1,96,CTV-PAP-96
97,1,97,CTV-PAP-97
98,1,98,CTV-PAP-98
99,1,99,CTV-PAP-99
100,1,100,CTV-PAP-100
101,1,101,CTV-PAP-101
102,1,102,CTV-PAP-102
103,1,103,CTV-PAP-103
104,1,104,CTV-PAP-104
105,1,105,CTV-PAP-105
106,1,106,CTV-PAP-106
107,1,107,CTV-PAP-107
108,1,108,CTV-PAP-108
109,1,109,CTV-PAP-109
110,1,110,CTV-PAP-110
111,1,111,CTV-PAP-111
112,1,112,CTV-PAP-112
113,1,113,CTV-PAP-113
114,1,114,CTV-PAP-114
115,1,115,CTV-PAP-115
116,1,116,CTV-PAP-116
117,1,117,CTV-PAP-117
118,1,118,CTV-PAP-118
119,1,119,CTV-PAP-119
120,1,120,CTV-PAP-120
121,1,121,CTV-PAP-121
122,1,122,CTV-PAP-122
123,1,123,CTV-PAP-123
124,1,124,CTV-PAP-124
125,1,125,CTV-PAP-125
126,1,126,CTV-PAP-126
127,1,127,CTV-PAP-127
128,1,128,CTV-PAP-128
129,1,129,CTV-PAP-129
130,1,130,CTV-PAP-130
131,1,131,CTV-PAP-131
132,1,132,CTV-PAP-132
133,1,133,CTV-PAP-133
134,1,134,CTV-PAP-134
135,1,135,CTV-PAP-135
136,1,136,CTV-PAP-136
137,1,137,CTV-PAP-137
138,1,138,CTV-PAP-138
139,1,139,CTV-PAP-139
140,1,140,CTV-PAP-140
141,1,141,CTV-PAP-141
142,1,142,CTV-PAP-142
143,1,143,CTV-PAP-143
144,1,144,CTV-PAP-144
145,1,145,CTV-PAP-145
146,1,146,CTV-PAP-146
147,1,147,CTV-PAP-147
148,1,148,CTV-PAP-148
149,1,149,CTV-PAP-149
150,1,150,CTV-PAP-150
151,1,151,CTV-PAP-151
152,1,152,CTV-PAP-152
153,1,153,CTV-PAP-153
154,1,154,CTV-PAP-154
155,1,155,CTV-PAP-155
156,1,156,CTV-PAP-156
157,1,157,CTV-PAP-157
158,1,158,CTV-PAP-158
159,1,159,CTV-PAP-159
160,1,160,CTV-PAP-160
161,1,161,CTV-PAP-161
162,1,162,CTV-PAP-162
163,1,163,CTV-PAP-163
164,1,164,CTV-PAP-164
165,1,165,CTV-PAP-165
166,1,166,CTV-PAP-166
167,1,167,CTV-PAP-167
168,1,168,CTV-PAP-168
169,1,169,CTV-PAP-169
170,1,170,CTV-PAP-170
171,1,171,CTV-PAP-171
172,1,172,CTV-PAP-172
173,1,173,CTV-PAP-173
174,1,174,CTV-PAP-174
175,1,175,CTV-PAP-175
176,1,176,CTV-PAP-176
177,1,177,CTV-PAP-177
178,1,178,CTV-PAP-178
179,1,179,CTV-PAP-179
180,1,180,CTV-PAP-180
181,1,181,CTV-PAP-181
182,1,182,CTV-PAP-182
183,1,183,CTV-PAP-183
184,2,1,CTV-LIMP-001
185,2,2,CTV-LIMP-002
186,2,3,CTV-LIMP-003
187,2,4,CTV-LIMP-004
188,2,5,CTV-LIMP-005
189,2,6,CTV-LIMP-006
190,2,7,CTV-LIMP-007
191,2,8,CTV-LIMP-008
192,2,9,CTV-LIMP-009
193,2,10,CTV-LIMP-010
194,2,11,CTV-LIMP-011
195,2,12,CTV-LIMP-012
196,2,13,CTV-LIMP-013
197,2,14,CTV-LIMP-014
198,2,15,CTV-LIMP-015
199,2,16,CTV-LIMP-016
200,2,17,CTV-LIMP-017
201,2,18,CTV-LIMP-018
202,2,19,CTV-LIMP-019
203,2,20,CTV-LIMP-020
204,2,21,CTV-LIMP-021
205,2,22,CTV-LIMP-022
206,2,23,CTV-LIMP-023
207,2,24,CTV-LIMP-024
208,2,25,CTV-LIMP-025
209,2,26,CTV-LIMP-026
210,2,27,CTV-LIMP-027
211,2,28,CTV-LIMP-028
212,2,29,CTV-LIMP-029
213,2,30,CTV-LIMP-030
214,2,31,CTV-LIMP-031
215,2,32,CTV-LIMP-032
216,2,33,CTV-LIMP-033
217,2,34,CTV-LIMP-034
218,2,35,CTV-LIMP-035
219,2,36,CTV-LIMP-036
220,2,37,CTV-LIMP-037
221,2,38,CTV-LIMP-038
222,2,39,CTV-LIMP-039
223,2,40,CTV-LIMP-040
224,2,41,CTV-LIMP-041
225,2,42,CTV-LIMP-042
226,2,43,CTV-LIMP-043
227,2,44,CTV-LIMP-044
228,2,45,CTV-LIMP-045
229,2,46,CTV-LIMP-046
230,2,47,CTV-LIMP-047
231,2,48,CTV-LIMP-048
232,2,49,CTV-LIMP-049
233,2,50,CTV-LIMP-050
234,2,51,CTV-LIMP-051
235,2,52,CTV-LIMP-052
236,2,53,CTV-LIMP-053
237,2,54,CTV-LIMP-054
238,2,55,CTV-LIMP-055
239,2,56,CTV-LIMP-056
240,2,57,CTV-LIMP-057
241,2,58,CTV-LIMP-058
242,2,59,CTV-LIMP-059
243,2,60,CTV-LIMP-060
244,2,61,CTV-LIMP-061
245,2,62,CTV-LIMP-062
246,2,63,CTV-LIMP-063
247,2,64,CTV-LIMP-064
248,2,65,CTV-LIMP-065
249,2,66,CTV-LIMP-066
250,2,67,CTV-LIMP-067
251,2,68,CTV-LIMP-068
252,2,69,CTV-LIMP-069
253,2,70,CTV-LIMP-070
254,2,71,CTV-LIMP-071
255,2,72,CTV-LIMP-072
256,2,73,CTV-LIMP-073
257,2,74,CTV-LIMP-074
258,2,75,CTV-LIMP-075
259,2,76,CTV-LIMP-076
260,2,77,CTV-LIMP-077
261,2,78,CTV-LIMP-078
262,5,1,CTV-VEC-001
263,5,2,CTV-VEC-002
264,5,3,CTV-VEC-003
265,5,4,CTV-VEC-004
266,5,5,CTV-VEC-005
267,5,6,CTV-VEC-006
268,5,7,CTV-VEC-007
269,5,8,CTV-VEC-008
270,5,9,CTV-VEC-009
271,5,10,CTV-VEC-010
272,5,11,CTV-VEC-011
273,5,12,CTV-VEC-012
274,5,13,CTV-VEC-013
275,5,14,CTV-VEC-014
276,5,15,CTV-VEC-015
277,5,16,CTV-VEC-016
278,5,17,CTV-VEC-017
279,5,18,CTV-VEC-018
280,5,19,CTV-VEC-019
281,5,20,CTV-VEC-020
282,5,21,CTV-VEC-021
283,5,22,CTV-VEC-022
284,5,23,CTV-VEC-023
285,5,24,CTV-VEC-024
286,5,25,CTV-VEC-025
287,4,1,CTV-COM-001
288,4,2,CTV-COM-002
289,4,3,CTV-COM-003
290,4,4,CTV-COM-004
291,4,5,CTV-COM-005
292,4,6,CTV-COM-006
293,4,7,CTV-COM-007
294,4,8,CTV-COM-008
